Field1,Field2
Props,for actually pulling this off. Like it a lot.
Wow,This has a Palau Pledge / Meet Graham level of grandness to it
Nice,"…Idea.
Timely.
Positive.
Respect."
Congrats,Imagine it took a mountain of work to get this over the line – great ideas always do. Good for the world and good news in these dark times. Love the idea guys.
Huge,"Nothing but congrats on this one. Fantastic idea, executed at meaningful scale. Jealous."
Sgt. Sard,Very nice.
Homesick,"Brilliant work, and the type of stuff that makes me (and I’m sure others who’ve left over the years) fall back in love with the industry.
Maybe even dip the toe back in? Genuine, effective work, with soul and sophistication. Well done to all involved, you should all be proud of yourselves for getting this idea made."
JaseR,Great idea. Well done.
brilliant,I’m standing and clapping
Once in a lifetime idea,"Bravo Adam and Pete, bravo."
@Once in a lifetime idea,"Oh come on, let’s not ruin the vibes with the obvious and insecure self-congratulatory call out. There’s 100 people on the list of credits.
They wouldn’t be there if it was a two man party."
pearcey,"this is really, really great. well done to all."
Production,Incredible film craft there. Shows what we can make here in Oz when we’re given the scripts.
Mac Wright,I love you Adam & Pete.
Craig,Amazing idea.
just sayin,Thats how you do it.
Stu T,Incredible idea. Well done to all involved.
Book your tickets....,You’re headed to the sunny beaches of the south of France!
Hello,Well done Adam and Pete. A genuine and brilliant idea fellas and a long time in the making!
Jealousy,"This is the first thing I’ve been proper jealous of in a while. Congratulations to all involved.
At least this thread will be more wholesome than the Cadbury Gorilla debacle"
Clinton,Genuinely excellent
JB,Spirko and team – this is an absolute banger! Nicely done.
Az,Love it.
The reward is the awards,Kudos for getting it through and no doubt you’ll pick up awards from it. But let’s not kid ourselves here… that was the main aim. In no way will this actually make a difference. Who uses cash anymore anyway? 99% of places are actively discouraging cash payment now thanks to COVID.
Huge Journey,LOVE this idea. Well done everyone.
Will do what it was created to do,And that is….. drumroll please….. win awards. 
Brilliant but too late,"Newsflash, nobody uses coins any more.
Two years ago, this idea would have been awesome. Today it’s useless."
Brilliant,"It’s such a neat idea and it’s real. To anyone saying don’t just congratulate Adam and Pete you need to know the history of this idea. This idea has been in the making for years now and I’m sure the team at Saatchi and Saatchi helped make it better, but it was Adam and Pete and some others at Publicis that should be given the majority of the credit. Well done all. It’s amazing."
PD,You don’t see ideas like this every day. Especially not in Aus. Kudos
@Will do what it was created to do,"If it’s easier for you, you can just tap homeless people and seeing eye dogs on the head with your credit card until they beep."
Ben,"Given this was clearly in the works well before COVID, and the fact that plenty of people actually do use coins…and the idea isn’t to actually get these coins donated, it should be celebrated as a cracker of an idea, for a brilliant cause."
Allie,I genuinely love this. 
Really nice,Great work from the guys who actually came up with SCUBER.
Rivet,"This is bloody good work, first saw it as a news article – didn’t know it was from agency. Feels huge, very jealous –  Congrats on getting it up"
Sadly Infantile,"This is a wonderful idea that shows persistence to get it over the line.
It is a sad commentary that it is already trivialised with references to awards and Cannes.
Surely it would be so much better to just enjoy the reward of a great idea doing its job."
TK,Absolute respect. Can’t even imagine the journey from inception to sharing it today. Hats off to everyone involved.
@BigMac,"It’s one thing to conceive, quite another to make. As it takes a village to raise a child, so to it takes many people to bring an idea like this to life. Show some grace, dignity and thank them, instead of reducing this to a self promotion exercise. Trust me."
qt3.14,Yuge idea. Biggest I’ve seen in a long time. Brilliant.
Pay attention,Adam and Pete are genuinely emerging as the creative names to watch in Australia.
Very cool,Not often you come up with an OOH ad that lasts for 40 years. 
ClientKudos,"Well done to the team at The Royal Australian Mint, Mark Cartwright, Frederica Heacock and Nicolle Keye.
The tactics don’t get executed so brilliantly, nor made without brave, strategic and purpose driven marketers like you."
I like,Very nice. Congrats.
bobthebuilder,Huge. Well done. And a great cause. Couldn’t ask for a better campaign to be part of.
I'm a fan,"Not that i use money anymore, this is a really nice idea, well done Saatchi + Saatchi"
Old CD Guy,What an excellent initiative and film.
