Field1,Field2
Stu,This is incredible. Such a new way way of looking at the problem. Deserves serious metal.
Graham's mum,This is awesome work guys and girls. Congrats to all involved.
Cynical before I watched it,"Intelligent.
Creative.
Educational.
Relevant.
Thought provoking.
Great work, well done all.
(And, best with Chrome.)"
ailes,"That’s just brilliant. Lateral, relevant thinking. Gold."
Dean H,Huge idea. Well done to all involved.
Mike,Mind blown. Brilliantly done. Absolutely world class.
Amazing,Best thing I’ve seen all year. Can see this being a really effective education tool for young drivers. Great call getting Patricia onboard.
adrian@AIRBAG.co,Super proud of AIRBAG’s work on this. Always great to have a passion project going through! Big thanks to Clems Melb for the amazing brief.
TSW,Seriously great! Well done to all involved.
Oh yes,http://www.youtube.com/watch?v=Ds460ROBHnA
Dan O,Brilliant.  What a coup to get Patricia Piccinni involved.  Amazing
Astounding Co-incidence,"For your exquisite entertainment, such a human actually existed.
http://poetry.rotten.com/banjo-goiter/index3.html"
Kristian,"Amazing campaign, so inventive, creative and thought provoking as everyone has said! Also they have finished up with some amazing art by Patricia "
Old CD Guy,"More importantly, how did his penis and balls fare?"
SH,Jealous. Humbled. Inspired.
TJ,Jesus christ this is amazing. I am in awe of the team behind this.
Trouserpress.,"Sorry, Oh yes is right. First thing I thought of, ‘The Natural Born Smoker’
https://youtu.be/Ds460ROBHnA"
evolved,What ‘Dumb Ways’ should have been.
Rad,Better than anything i saw at Cannes this year! Well done.
im not a creative,"… and this is everything wrong with creativity.  It’s up its own bum and will loads of awards (as you all point out), but for the wrong reasons. It will be ignored by consumers, it wont do dick."
good but . . . done before,"Absolutely fresh way of looking at the problem, in the early 1980’s
Originally written by the brilliant Rob Janowski and Art Directed brilliantly by Ray Barrett, shot by the magnificent Barry Myers.
Brilliant thinking."
Just sayin',Furby would survive an accident at 60kmph.
Side note,"This thing is going to haunt my nightmares.
Also, great work."
RAY BARRATT,"Natural Born Smoker, FCO LONDON, CIRCA 1985"
awesome,"the best thing about this campaign is how they seeded the image of Graham with the caption ‘russian army surgically alters man to survive impact’ with random URLs that re-directed to the messaging – that’s how millions of young men shared and were exposed to the message.
except they didn’t, because the goal of this shit is awards not efficacy.
great idea – deserved a campaign not just a case study."
Jade,This is amazing. Well done.
Turd polisher,"The main visual will get attention but that’s where it stops. Is Graham a driver, a pedestrian, a passenger? Or all three? Or more? Who is this for? My least favourite part is how Graham is given bigger feet so that he could simply leap out of the way of cars, presumably because he also has telepathic skills to know when a car is about to hit him, even when he’s Pokemoning. There’s also a reason no one makes these kind of super rich content sites anymore. It’s because they take too long to load and then don’t deliver. I had time to watch 8 cat clips during the time it was telling me turn on the minimalistic ambient sound that serves no meaningful purpose other than polishing the turd even harder. The judges will love it."
Graham,"On behalf of all Graham’s out there – why the hell wouldn’t they create a fictional name to go with this fictional character? I’ve received relentless ridicule and harassment since this campaign launched.
How could an agency think this would not have a negative effect on people who share the name with this thing!!!
Very insensitive"
not sure,"What an amazing execution.
But is it just a little bit convoluted? A bit too theoretical?
I mean, will it make any change in motorists behaviour?
Will it save a life?
Is it a good idea, or a somewhat pointless idea with a lot of craft and cash applied to it.
And as some suggest, is its real motive here to win awards?
Is it effort for ego, rather than for a the needs of cause?
Because iform certain angles it can look like a bit of a silly exercise."
Steve Dodds,"It’s a very cool idea, but the execution seems awfully passive to me.
How are people going to discover Graham? Surely a real Graham, or at least one that interacts with the real world, would be more confronting than a conceptual art piece.
The video is more a Making Of than something aimed at consumers.
I did see a PR story on SMH today, but it linked to the dull video rather than the website.
I hope this isn’t yet another scam taking advantage of misery as some above have suggested (and I have trouble believing that Clems or TAC would put their names on such a thing anyway), but surely it needs to be ‘bigger’."
So...,"We should all definitely do this, then! Excellent!!!! And I’ll be doing that thing from right now to SAVE LIVES! And that thing is what you should be doing too. The strange guy thing on a chair. Act now at the website thingy."
adgirl,Fucking awesome. Seriously. So bloody good.
A. Anonymous,"Interesting work – no doubt, but it lacks the knockout punch.
I assume it’s trying to make the point ‘nobody’s built like Graham so drive safely’, but it never does. There needs to be something direct and clear to place in a nutshell.
I also thought the video started off well but started to drag on a bit.
Some slick web production to enjoy."
same same,https://www.youtube.com/watch?v=Ds460ROBHnA
Bon Snott.,"@awesome
What are you on about? Russians? Are you a conspiracy theorist?"
GRAGRA-HAM,"Got out of the shower this morning and my wife said, “you look like Graham”.
Thanks!"
@Graham,"Well, Natural Born Smoker was a name which basically summed up the idea when you saw the creation. I’ve seen Graham endlessly for the last two days and I still don’t know what the fuck he does – really.
I know it’s something to do with TAC, but I seriously don’t know what it’s about.
Natural Born Smoker made one ask the question ‘What is that about?”
‘Graham’ is just flip.
Shame, cos they’ve gone to all that trouble of copying the rest of the idea, they should have tried to make it work better."
be ashamed,"If you’re lucky enough to work on the TAC account you should be putting all your efforts into saving lives.
Not winning awards
You got some nice news snippets for your case study last night which is obviously all this campaign was designed to do.
There’s a reason the road toll has climbed since this account moved to Clems."
Old CD Guy,"@Old CD Guy:
Get your own nom de plume."
Lisa Johns,SO proud Bubs
Old CD Guy,"@Old CD Guy:
I am Old CD Guy. And I want to know about this man’s potentially deformed genitalia."
@JustSayin,Brilliant!
Davey,"I know a guy from Victoria who actually looks like Graham
Life is tough for him at the moment
1 like = 1 prayer"
Melbourne Creative,"This is what makes me sick about this industry – The end goal is to win awards, not to do effective work for a client.
This is very clever. Not original, but clever.
It will make a supurb case study film. And win awards.
But it’s shit advertising."
Well done,That Furby comment is hilarious.
Sol,I love the layout. Looks like the old Telstra 4G ads of yesteryear.
Creative Bunch,Absolutely loved Graham! This is an awesome example of creativity meeting constructive knowledge sharing. Stunning work..thanks a lot for sharing the project and i will definitely be taking a trip to the state library to meet graham.
You can always tell a really great piece of work,"The more petty people who hate on it, the better it tends to be. The really shit work no one actually bothers trying to talk it down.
As someone watching this campaign from Auckland (and lets face it, NZ is kicking AU’s ass when it comes to creativity in recent years), this is the first thing in a long time from AU that I wish I had worked on. Good work to all involved."
Old CD Guy,"No, @Old CD Guy, you are Spartacus."
Electric Squirrel,I just love all these comments.
10 out of 10,"This is a brilliant ad for Clems.
It will win a shipping container of gold.
And it will achieve what they need: to regain their rep as the best creative agency in Australia.
Job done, and done very well.
End of story."
Oh god,The only reason there are so many comments is because it’s so stupidly over spent rubbish of nothingness. It offers nothing for anyone to do. WTF am I supposed to do?
Heavy D,"An amazing idea, amazingly executed, by an amazing group of people.
Have been very proudly showing this to anyone who will listen to my gravely voice.
Excellent work all xxx"
education,I made my now 25yr old daughter watch all the old TAC ads before she learnt to drive. I wanted to scare her into safe driving and understand who she shares the road with. A couple of years ago we saw this big long empty lunch table set for Christmas and everyone who died in car accidents it reminded us both of all that. This is different. It’s the same message but done in another way. Well done to TAC for taking the time to tell such important messages and getting back to standing out with your messages.
Its the muppet show,"Attention all muppets.
This is a work of art, that is provoking discussion and understanding of the dangers of driving amongst Victorians. And given the coverage in Vic, and now around the world, those that criticise clearly don’t understand the shape and power of a modern idea.
This is simply genius, pure and simple."
I am not the old CD guy. Just a guy,"This campaign is amazing, hence the need for sub par creatives to try and knock it down. I mean, how else would they compete? Well done to the team involved, inspiring, creative and meaningful work"
