Field1,Field2
riggert,well done.
Impressed,"wow, really nice."
yes,great. love it. nuff said.
Stuart,Naice!
Finally,"Winner Winner Turkey Dinner
Great stuff guys."
BOOM,"This is really, really good."
The Don,"This is so nicely crafted.  Shot beautifully, wonderfully edited, fantastic score, great VO copy and delivery.  Really great work.  Well done.  Only query would be the leads cricket style, it’s a bit baseball like.  Then again, probably intentional.  If so, even that’s clever."
homesick now,lovely.
bobthebuilder,"Best Christmas ad i’ve seen in ages, definitely beats the latest UK Christmas PC guff.
Well played."
Ted,Great little tale
'The Don' of Peakhurst,Saw this last night. Reminded me of being a kid. Great work.
Stupid,"I don’t get it.
An ad for the forthcoming Ashes series?"
I likey,Really great spot!
Love it,https://www.youtube.com/watch?v=xuPSIbABYVU
I likey,Really great spot!
Hanson Abbott,"He doesn’t want to play cricket or share his food with non-ozzies and he storms off in disgust?
Maybe I should watch it with sound."
Jim,"That technique is miserable. Needs a lot of work.
The spot is good though."
Onya,BMF. Good shit this.
The Perfect Aussie Christmas Ad,"Well done to the team. Beautiful crafted piece of storytelling that nails the dusty, squinty, cricket-y Australian Christmas. Love it."
Well Done,I cant stop watching this. Amazing.
Huh,I don’t get it at all? But I don’t play cricket. Do you have to to understand it?
Payoff,"Such a long bloody indulgent story for a weak few second payoff.
Sorry."
...,"I love it.
Beautiful insight into Aussie Christmas’ and Summer.
I prefer the cut-down I saw on tele."
Redgreg,Well done all involved.  I love it.
Jet,If you don’t like this your an ad grinch. Tight on so many levels. Congrats all.
Ad Grinch,I don’t get it and I don’t like it.
From faraway lands,"I’m an import.
The feedback is clearly good, from a notoriously tough crowd, and I really want to understand what I’m missing here.
Please can someone explain it to me?
I’m asking in all honesty."
Woz,I so want to like this more than I do.Haven’t seen the shorter version on TV maybe that will help.I just got lost.
Steve Jackson,"Lovely idea beautifully executed.
Well done BMF and Goodoil. Class.
Jacko x"
Groucho,"You’d have to be sad and lonely,  emotionless and deeply stupid not to see the genius in this wouldn’t you?"
X,"Well this is exactly what’s wrong with the industry. Men doing ads for the female consumer.  If 75% of shoppers are female, how did this creatively and strategically get the go ahead? Please don’t try spin some shit about how it does.
It’s like a beer ad but for a supermarket.
All the positive comments are clearly from blokes. Woz, Jacko, Groucho, The Don, Onya etc says it all.
I’m sure after I post this the fake female bloggers will come out and try defend it.
A female will never have written this ad!
WE NEED MORE FEMALES IN THE CREATIVE DEPARTMENTS ASAP."
Your mother,"fat indulgent christmas turkey.
you should be ashamed boys.
You are right X. only appeals to the naughty boys who wrote it and anyone else dreaming of making an ad that is a big long pointless wank. It’s beautifully shot, cast, directed but surly you can see past that? No ‘grocery buying mum’ like me is going to do any more than go “eh?”, you’d be lucky if I even noticed it was playing. The fact that this gets so much love makes me ill."
X the second,"X you are so right. Doesn’t the world have enough stories where men are celebrated for the slimmest of achievements, while sexless and anonymous women get on with the domestic labour in the background? Apparently not."
Please...,"@the lovely feminists in training,
The ACD on this is a chick, as are the planners, as am I. I also don’t want to start rumours but I’ve heard Cam is known to moonlight as a woman.
In other words, calm your farms."
Xx2,"Agree with X. When i mentioned how this does nothing for the female consumer infront of a bunch of guys they all laughed at me.
Guys play and women cook is my take. We are so immune to the problem that no one see’s it. Shame. It really is like a beer ad.
Aldi should know better. BMF should too.
I’m sure it will win awards from more male back slapping judges."
"Sad and lonely, emotionless and deeply stupid and Xxx","Not trying to be insulting but I have no idea what this is about. Beautifully shot, no doubt. But its a beer ad right? I have no idea what I’m watching, or why its going to make me shop at Aldi. Lets be honest, that is what advertising is about right?"
pseudonym,If we’re all being literal – I feel bad for the guy who had to stand there for 40 years just to make this ad. Shame on you Aldi.
F,"@ Please,
Making light of the issue is not the best way of dealing with this.
The planners and ACD clearly were out numbered."
TIm,"Hasn’t any of the complainers here that say it’s  ‘too male biased’ been watching the success of the Australian FEMALE cricketers in the last few weeks? Bloody hell, it’s not just a male sport. Great ad guys. Ignore the idiots who wished they’d done something half as good.
And I don’t even understand or play cricket, but I have the small amount of general knowledge required to know what’s going on in the ad. Love it."
The Judge,"A company that appeals to women approved an ad with no women in? Jeez, you desperate old-school feminists really are mocking yourselves.
In the meantime, get back to you letters complaining about beauty ads, clothing stores, fashion, makeup, dolls… Oh, that’s right, you aren’t."
Brian,I’m a woman and so’s my wife.
Father time,WTF has this got to do with shopping?
Mansplaining.,He’s batted for 40 years. Nothing could break his indomitable run. Says he’ll eat when he gets out. He sees the delicious Aldi Christmas spread. Let’s himself get out so he can go and eat said delicious Aldi Christmas spread.
@mansplaining,So the Aldi spread is that “good” you could go 39 consecutive years without it.
pseudonym,"Mansplaining. My new favourite sub-blog on the campaign site. Keep it up you male, or female, legend."
@mansplaining,"Thought so.
Which makes it a pretty ordinary ad in my books.
But what do I know? I’m just a woman. With a willy."
One lonely man,"This is lost a little on me too. Nice story, well shot, and all that. It’s a lovely spot. But how is this dramatising “The More the Merrier”? Which, btw, is a great line for Christmas.
But this guy seems content to stay out there on his own? Until inexplicably people finally show up with actual food one Christmas.
Is it just me!?
Please help understand.
Explain it to me like I’m an Australian family grocery buyer."
@F,"WHAT FUCKING ISSUE!!?!?!?!?
YOU SEEM TO HAVE ISSUES, NOBODY ELSE DOES!!!!
NOBODY ELSE CARES!!!"
Barmy Army,Obviously never had Jimmy Anderson round for Christmas dinner then.
Barmy Army,Obviously never had Jimmy Anderson round for Christmas dinner then.
Tish Faco,"So let me understand this please, my dear outraged fembots.
If they’d made an ad that “leveraged” the fact we were the grocery buying segment,  you’d be complaining that they were too weak to break an archaic approach and are essentially condemning our young daughters to a life of supermarkets, food prep and dishwasher hands. Part of an ongoing boys club machine determined to keep the status quo.
If they do something different. You complain."
macker,https://www.youtube.com/watch?v=V2SpN-OePzc
macker,https://www.youtube.com/watch?v=QBqPzHEDzvo
Portland,"Nice one, girls and boys. Makes me homesick for an Aussie Christmas lunch."
Lady,"I’m a woman. And I love cricket. It’s a love passed down to me by my Mum. And it was passed down to her by her mum.
To X and the other people saying this ad can’t possibly appeal to women… you’re part of the problem. Screw you."
Lady too.,"It’s not so much that a female didn’t write this it’s more that it doesn’t appeal to women. Sorry, it just doesn’t. Someone summed it up perfectly by saying it’s just like a beer ad but for a supermarket.
@Tim, yes the female cricket team have done amazing things. So why wasn’t the cricketer in the ad female?
@TishFaco, if your creativity stops at what you suggested appeals to women then you really are part to the problem."
#craft,https://www.youtube.com/watch?v=wJZJrQodMfk
"@everyone who says ""you're part of the problem""","Do you ever follow that statement up with a suggestion of how to actually find a solution? Since everyone else is part of the problem, it’s only right that you know the answers.
Jesus fucking Christ – it’s an ad for Aldi, not the new artisinal cold drip deconstructed coffee served in a single piece of hand-folded carpet. Have a little bit of a critical think about who’s more likely to shop at Aldi – regular people, or ad industry arseholes."
Dan O'Connell,"Let’s just call this brilliant, and clearly better than the John Lewis Chrissy ad, for nothing like the budget or resource.
Huge expectations on every Aldi campaign, and each new offering betters the last."
Leonel Podgurski,i praise these stylish post! 
Pihu,Great stuff man. I love it.
