Field1,Field2
Hello,Nice to see the old faster than a speeding bullet idea again.
Old Broken Record Guy,"Think i saw this in an AWARD School student’s “first idea” scamps in 1988.
Hope they follow it up with the “like sh@t off a shovel” idea too."
pseudonym,"Even if it’s been used a trillion times over, I would rather see this idea again and again over some of the non-sensical hype reel odd just for being odd drab that seems to be a plaguing the Australian Ad industry at the moment."
Rich,It isn’t?
Under 40 said,What’s Print??
John,They fired a blank here…an idea as old as a Colt 45.
@under 40,"It would also work as a banner ad, don’t worry – it could get that 0.001% click through rate.
Or perhaps, if you were over 40, you’d realise that grown ups who might buy this car probably read things called magazines and newspapers, which they get delivered to their offices.
The bigger question is, what fucking creative director would let this idea out the door. Regardless of it being old it’s a lie, it’s not as fast as a bullet.
fucking hell. Useless."
Quick Draw McGraw,"“OK boy, now you park your little car way down yonder and when I count three, you start drivin toward me. Then, when I’m good and ready, I’ll unload Ol’ faithful here and we’ll see who’s really quick and who’s really dead.”"
Another Art Director,"Looks sweet, good one guys. Wish I was making work, looks fun."
vince the cleaner,Good to see the senior creatives at Whybin working hard.
over 40,"Dear under 40
at least you’re honest, in that you weren’t taught the craft of advertising fully, or properly. How’s that studio treatin’ ya?"
ann ominous,"wow, kids! harsh. angry. even a little bitter, perhaps?"
Damn...,"…I thought it was kind of nice for a minute, given I can’t even remember the last time a half decent print ad for a car brand was done out of this country.
Thanks Hello, Old Broken Record Guy, pseudonym, Rich, Under 40, John and @under 40 for teaching me otherwise. Looking forward to seeing your ground breaking automotive advertising featured here in the future. X"
Donkey Kong Jr.,I dunno. It’s simple and clean. I don’t mind it  ¯\_(ツ)_/¯
Ye Olde School,"Amongst the idle dross I find a print advertisement of yore, simple, to the point, but ’tis a-feared it be complete and utter bollocks.
Speed to yonder point be the least of the carriage’s skills.
But the others be difficult to communicate. So the scribe and pinter take the route of ease.
As mine brethren under 40 so eloquently sayeth, Fuck Off.  Try harder.
And what’s more, bullets be the colour of lead, and quite lacking in shine.
Print may not be dead, but ads like this kick it while it’s moaning upon the ground."
