Title,fn,Comment
Brilliant idea and looks fantastic! Well done boys.,Sarky,Reply
I would love to see this brilliant and fantastic looking work. Where are the links?,Curious,Reply
and the idea here is???,confused,Reply
Well done Oliver Lynch!,Account Circus,Reply
"“The campaign uses imagery of the Eagle imperiously surveying the world from his pinnacle, creating a symbol of strength that reasserts the masculine values of Wolf Blass.”
Oh fuck off.",Account Circus,Reply
What year is it?,TW,Reply
"It’s significant, whether you like the work or not – they are making this ad for China, and that seems to have influenced the global flavor of the brand.  Is this the future?",1 Billion Chinese,Reply
"Dog sauce.
Fuck people, this is awful.",poo,Reply
Beautifully crafted.,Stuart,Reply
"Brilliant? Where? This is a pun with a pack shot and an eagle.
I assume this is a piss take from DDB.",Whine Client,Reply
this would look cool… in 1985,whythefuckwouldyoupostthisshit,Reply
"The sad thing is, this will probably sell because that’s what their big Chinese market is asking for.
Pun + pack shot + black + gold + eagle = good wine.",Worked with wine,Reply
This is the best ad EVER!!!! Seriously!!!,Harry Hoo,Reply
Love it,Gary T,Reply
Great work. So powerful.,John McClaine,Reply
This is awesome. Good on ya DDB,thiisawesome,Reply
"Hey complainers, it’s not like you can do any better. A believe this is brilliant.",Stop complaining,Reply
I enjoyed viewing this ad,Ernie The Eagle,Reply
Powerful advertising imagery for a powerful wine company. I wish I was as creative as those who created this masterpiece,Lique Madiq,Reply
pun?,Where's the,Reply
The sarcasm is strong in you all.,adoY,Reply
"I’ve been working in advertising for many years.
In that time, I have longed to use the headline ‘Enjoy the view.’
And now I’m gutted that something like this has turned up.
It’s all in the crafting.
It’s the way that the product takes up the entire page, almost shattering convention. It’s the cunning use of stock photography and the beautiful, poetic use of a huge fucking bird that just nails it.
It just nails what wine is all about. Huge cities, Asia and birds.
Congratulations to the client, the agency and Getty Images for a wonderful, groundbreaking piece of art.",Nob,Reply
Why use stock shots from the 90’s?,WTF,Reply
"Nob 2:17 your cracking me up here, hilarious.
This is groundbreaking, take wine they want to sell to blokes, make look like Johnny walker or chivas as much as possible, then stick a big fucking bird on there. I think they should enter this to Cannes, just for the giggle.",macca,Reply
Vintrepreneur?,You do what?,Reply
"Why does DDB Melbourne consistently pr wallpaper and seriously average work?
The account service must love working there.
Perhaps they even do the creative too.",Why do they bother?,Reply
"Of all the things I associate Wolf Blass with it ain’t a fucking bird.
What’s next, a mountain backdrop with a wolf in the background?
How about selling the fact that it’s a decent drop (well the Grey label stuff is anyway).",Ben,Reply
